SAMPLE_ID,Answer
TEST_016,"노인장기요양보험 운영지원의 사업 내용은 ""국민건강보험""에 국고 지원을 통해 노인의 건강증진 및 생활 안정 도모와 가족의 부담 완화에 집중한다."
TEST_017,"""국민기초생활 보장법""에 의한 의료급여수급권자를 제외한 기타 의료급여수급권자입니다."
TEST_018,"국민건강보험법 제5조, 제6조, 제8조부터 제11조까지, 제69조제1항부터 제3항까지, 제76조부터 제86조까지 및 제110조를 준용한다."
TEST_019,"""노인장기요양보험법""이 2007년 4월에 제정되고 공포되었다."
TEST_020,"장기요양인정점수 완화는 '13.7월에 이루어졌으며, 기존의 53∼75점에서 51점∼75점으로 완화되었다."
TEST_021,장기요양기관 지정갱신제의 법적 근거는 '25. 시행되도록 마련되었다.
TEST_022,요양보호사 인력배치기준이 개선되어 요양보호사 1명당 시설수급자 수가 2.5명에서 2.3명으로 줄어들었습니다.
TEST_023,"에너지 바우처 제도는 경제적 부담 등으로 에너지 이용에 어려움을 겪는 에너지 소외 계층에게 전기·가스·지역난방 등 에너지 이용에 필요한 비용을 지원하는 제도입니다. 주요 내용은 하절기바우처, 동절기바우처, 연탄쿠폰, 등유바우처 등 4가지로 나누어져 있으며, 대상 가구의 평균 에너지 비용을 지원 추진 중입니다."
TEST_024,주거·교육급여 수급세대 중 더위·추위민감계층까지 영구적 확대되었다.
TEST_025,에너지바우처 사업의 사업시행주는 산업통상자원부장관입니다.
TEST_026,"하절기바우처의 2024년 예산 규모는 60,950백만원입니다. 동절기바우처의 2024년 예산 규모는 600,521백만원입니다."
TEST_027,에너지바우처 사업 예산 중 에너지복지 홍보 비용은 448백만원이 할당되었습니다.
TEST_028,2023년 에너지바우처 사업 예산에서 시스템 고도화에 705백만원이 할당되었습니다.
TEST_029,2023년 에너지바우처 사업 예산에서 콜센터 운영에 502.7백만원이 할당되었습니다.
TEST_030,2023년 에너지바우처 사업 예산에서 패널조사에 131.7백만원이 할당되었습니다.
TEST_031,2023년 에너지바우처 사업 예산에서 에너지바우처 전달체계 구축에 할당된 금액은 미제시되어 있습니다.
TEST_032,주택관리공단 운영지원에 50백만원이 할당되었습니다.
TEST_033,에너지바우처 사업의 향후 기대효과는 '24년 대상가구 115.0만 세대에 평균 36.7만원의 에너지 비용을 지원 추진하는 것으로 보입니다.
TEST_034,에너지바우처 사업에 대한 예비타당성조사를 KDI(한국개발연구원 공공투자관리센터)가 수행했습니다.
TEST_035,저소득층의 폭염 피해 최소화를 위해 동절기 에너지바우처 일부를 하절기에 사용할 수 있도록 제도 개선할 것에 대한 지적사항이 있습니다.
TEST_036,"21년 에너지바우처 사업에 대한 결산 지적사항은 ""수급자 변경 등으로 예산부족이 발생하지 않도록 급여 선정기준 등의 변경계획 등을 사전에 확인하여 지원대상 변동 등이 예산편성시 신속히 반영되도록 할 계획"" 이었다."
TEST_037,취약계층의 에너지 비용 부담 완화를 위해 지속적 지원단가 현실화 추진을 계획하고 있습니다. 에너지바우처 지원 확대를 통해 에너지복지 사각지대 해소 추진을 계획하고 있습니다.
TEST_038,행복주택출자는 주택도시기금법 제9조제1항가목과 공공주택특별법 제3조의2에 근거하여 추진되고 있습니다.
TEST_039,행복주택출자 사업의 목적은 국민의 행복주거 실현을 위한 보편적 주거복지 정책의 일환으로 도심 내 다양한 부지를 활용하여 행복주택을 공급하는 것입니다.
TEST_040,국민입니다.
TEST_041,"행복주택출자의 사업비는 총 528,783원입니다."
TEST_042,"한국토지주택공사(LH), 지자체(지방공사)"
TEST_043,"국고보조사업의 보조율은 「보조금법」과 일부 개별 법령에 근거하여 운영되며, 지방자치단체의 재정여건을 고려하여 기준보조율과 차등보조율을 적용하여 운용되고 있음."
TEST_044,"프랑스의 재정조정제도에서 최근 강조되는 수평적 형평교부금은 특정 세입의 일부 또는 조성된 기금 배분을 위한 것이다. 이 형평교부금은 국가, 도, 기초자치단체 연합 및 기초자치단체 간의 재정 관계를 재정조정하는 데 사용된다."
TEST_045,지방재정조정제도의 목적은 지방정부의 부족한 재원을 보충하여 중앙-지방 간 수직적 불균형 완화 또는 재정력 격차 완화를 통해 국가 재정의 재배분 목적을 충족하여 지방자치단체의 기본적인 수요에 대한 지출을 촉진하는 것입니다.
TEST_046,2000년대 후반입니다.
TEST_047,"한국의 재정사업 성과관리제도는 '21년 개정된 「국가재정법」을 통해 운영되고 있습니다. 이 법 개정으로 '성과관리 기본계획'(5개년) 및 '추진계획'(연간) 수립이 의무화되었으며, 정부는 행정 부담을 경감하면서 재정운용의 책임성·투명성을 제고하는 방향으로 제도 개편했습니다."
TEST_048,"핵심재정사업 성과관리제도를 안착시키기 위해 필요한 노력은 성공사례와 목표 결과를 공유할 수 있는 다양하고 효과적인 커뮤니케이션 전략을 개발하는 것이다. 또한, 성과정보는 학습의 도구로서 사업추진기관에 의해 유용하게 쓰이게끔 하여 성과중심의 조직문화를 형성해 가는 것이 필요하다."
TEST_049,사회보험 사각지대 발생의 주요 원인은 사업주의 비용절감과 보험 가입에 따른 근로자의 실질 가처분 소득 감소 등이다. 이로 인해 저소득 근로자 및 예술인·특수형태근로종사자(특고)의 사회보험 신규가입이 어려워진다.
TEST_050,"청년일자리도약장려금은 우선지원대상기업에서 만 15~34세의 취업애로청년을 정규직으로 채용 후 6개월 고용유지하는 경우 최장 2년간 지원됩니다. 이 지원금은 최대 1,200만원이며, 최초 1년은 월 60만 원×12개월 지급되고, 2년 근속 시 월 40만 원×12개월 일시 지급됩니다."
TEST_051,"수직적 재정조정제도는 중앙-지방 간 또는 광역-기초 간에 지방교부세, 국고보조금, 조정교부금을 이전하여 수직적 재정불균형을 해소하는 방식입니다. 반면 수평적 재정조정제도는 동일 수준의 지방정부 간 재정불균형을 해소하기 위해 재정력이 강한 지방자치단체가 재정력이 약한 지방자치단체에 지원하는 상호 간의 재원을 재배분하는 방식입니다."
TEST_052,"지방재정조정제도의 목적은 지방자치단체 간 재정력 격차의 시정과 지역 간 외부 효과의 내부화를 통한 지방공공재 공급, 중앙정부의 위임사무에 대한 비용 부담 등을 목적으로 재정을 조정하는 일련의 조치를 의미합니다."
TEST_053,중앙-지방 간 재정조정제도에서 지방교부세와 국고보조금을 통해 수직적 재정 불균형을 해소한다.
TEST_054,"중앙정부의 예산편성은 지방자치단체에 얼마의 재원을 어떤 기준에 의해 배분할 것인가에 대한 문제이며, 중앙-지방 간 재정조정제도를 통해 지방교부세와 국고보조금을 이전한다. 이의 목적은 수직적 재정불균형을 해소하고 정부 층위에 따라 발생하는 지출과 자체수입 간 차이를 조정하기 위함이다."
TEST_055,"1990년대 이후 체계적인 성과관리제도 도입에 대한 필요성이 대두되면서 미국, 캐나다, 영국 등 주요국 위주로 재정사업 성과관리의 실효성 제고를 위한 제도 도입 등 노력이 시작되었다. 우리나라도 2006년 4대 재정개혁(국가재정운용계획, 총액배분자율편성예산, 재정성과관리, 디지털예산회계시스템)을 통해 재정사업 성과관리제도를 도입하였다."
TEST_056,"청년일자리도약장려금은 우선지원대상기업에서 만 15~34세의 취업애로청년을 정규직으로 채용 후 6개월 고용유지하는 경우 최장 2년간 지원됩니다. 이 지원금은 최대 1,200만원이며, 최초 1년은 월 60만 원×12개월 지급되고, 2년 근속 시 월 40만 원×12개월 일시 지급됩니다."
TEST_057,재정성과관리제도는 전략목표와 우선순위를 중심으로 재정사업을 재구조화한다는 점에서 국정운영과 연결되는 것이다. 지출 우선순위 측면에서 재정을 중장기 시계로 확장시켜 주는 효과가 있다.
TEST_058,"정부는 성과관리의 실효성 강화를 위해 「국가재정법」 개정을 통해 성과 관리의 기본 단위와 성과 측정 및 보고 체계를 확립하고, 재정사업 성과관리를 발표하여 사업성과평가의 예산편성 활용 확대를 위한 중점 추진과제를 제시했습니다."
TEST_059,"재정사업 자율평가의 대상, 범위, 효과, 개편 등은 지속적으로 논의되어야 하며, 개별 법령에 따라 실시되는 평가 대상 간 중복 최소화 노력 필요하다. 또한 재정성과관리 결과를 재정 운용에 반영하고, 국민에게 알기 쉽게 홍보할 수 있도록 공개하기 위한 지속적인 조치가 필요하다."
TEST_060,"재정성과관리제도는 재정을 프로그램 단위로 구분하고, 사전 목표와 사후 평가 결과를 중심으로 관리하는 것을 의미한다. 이 제도는 총량 관리와 보완적인 관계이며, 전략목표와 우선순위를 중심으로 재정사업을 재구조화하여 지출 우선순위 측면에서 재정을 중장기 시계로 확장시켜 준다."
TEST_061,"재정성과관리의 최종 목표는 국민이 정부가 하는 일의 목표에서 성과에 이르는 전과정을 투명하게 알 수 있도록 하는 것임. 재정정보의 관리 및 공개 플랫폼을 지속적으로 유지하고 발전시켜, 재정정보의 품질을 확보하기 위한 인프라 측면에서의 관리도 필요합니다."
TEST_062,"OECD, World Bank 등이 사업을 기준으로 예산을 나누어 성과 정보를 생산하고 있습니다."
TEST_063,"재정성과관리의 최종 목표는 국민이 정부가 하는 일의 목표에서 성과에 이르는 전과정을 투명하게 알 수 있도록 하는 것임. 재정정보의 관리 및 공개 플랫폼을 지속적으로 유지하고 발전시켜, 재정정보의 품질을 확보하기 위한 인프라 측면에서의 관리도 필요합니다."
TEST_064,2021년 「국가재정법」 개정으로 성과 중심의 재정운용의 법제도 근거가 마련되었다.
TEST_065,"성과관리제도는 지출 구조조정을 위해 인 1.5조원 수준의 지출구조조정 추진을 통해 성과 중심 운영 강화를 위한 제도를 개선하고, 재정비전2050 수립을 위한 추진 과제로 성과관리 개편 및 재정관리시스템 구축 등을 추진하여 지속적으로 제도 개선, 인프라 개선을 해나갈 전망입니다."
TEST_066,"재정사업 자율평가는 재정관리 합리성 제고를 위해 지속적인 제도 개선이 이루어졌습니다. 평가의 대상, 범위, 효과, 개편 등은 지속적으로 논의되어야 하며, 기존의 재정사업 자율평가 제도로 환원하고 공통 평가지침과 평가보고서 표준서식을 폐지하여 상위 평가 방식의 전수 점검에서 80여 개 주요 핵심 사업에 대한 평가로 전환되었습니다."
TEST_067,"2016년 재정성과관리제도의 환류 개선사항은 평가 대상 사업 전체 예산의 1% 이내에서 부처가 자율적으로 세출구조조정을 마련하도록 하였으며, 우수 등급 사업도 지출구조조정이 가능하게 함으로써 구조조정이 어려운 사업에 대해서는 성과관리 개선대책을 제출하게 함."
TEST_068,"2018년 이후 재정성과관리제도 개선사항으로는 ""재정사업자율평가""가 진행되었다. 이로 인해 정부의 성과 중심 운영을 위한 제도가 성문화되고, 투명성 확보 및 책임성 향상에 기여했다."
TEST_069,성과관리 사각지대 해소와 사업성과평가의 예산편성 활용 확대를 위한 중점 추진과제가 제시되었다.
TEST_070,"재정성과관리제도는 재정을 프로그램 단위로 구분하고, 사전 목표와 사후 평가 결과를 중심으로 관리하는 것을 의미한다. 이 제도는 국정운영과 연결되어 전략목표와 우선순위를 중심으로 재정사업을 재구조화하며 지출 우선순위 측면에서 재정을 중장기 시계로 확장시켜 준다."
TEST_071,"정부는 재정성과관리체계 강화를 위해 성과목표관리 및 성과평가를 구체화하고, 재정사업 성과관리 기본계획 수립, 성과보고서 작성 및 성과평가 근거 마련, 재정사업 성과목표 관리를 위한 추진체계 마련, 성과평가 결과 등을 저장, 활용할 수 있는 성과정보관리시스템 구축·운영을 제시했습니다. 재정성과관리는 전략목표와 우선순위를 중심으로 재정사업을 재구조화하고, 지출 우선순위 측면에서 재정을 중장기 시계로 확장시키는 것을 목표로 합니다."
TEST_072,"재정성과관리는 재정지출이 달성해야 할 목표를 정확히 설정하고, 이의 달성도를 지속적으로 관리하는 활동입니다. 또한, 지출 효율성을 증진하기 위해 수행됩니다."
TEST_073,재정성과관리의 목적은 효율적인 재정운용을 지원하고 책임성을 확보하는 것입니다. 우리나라의 재정성과관리제도가 프로그램 예산제도로 전환된 시기는 2006년입니다.
TEST_074,"2007년 「국가재정법」 개정으로 인해 성과관리 제도가 강화되고 구체화되었으며, 2021년 「국가재정법」 개정에서는 이전까지의 재정성과관리 체계 운영 결과를 종합하고 발전시킬 수 있도록 개선되었다."
TEST_075,"재정사업 자율평가는 재정관리 합리성 제고를 위해 지속적인 제도 개선이 이루어지는 목적을 가지고 있습니다. 이에 따라 평가 대상 사업의 범위, 평가 주기, 상위 평가 방식 등에서 지속적인 개선이 이루어지고 있습니다."
TEST_076,"2015년 이전에는 평가 결과 미흡 등급 비율을 강제 배정하고 해당 단위사업에 대한 일률적 삭감이 이루어졌습니다. 반면, 2016년에 환류 개선을 통해 평가 대상 사업 전체 예산의 1% 이내에서 부처가 자율적으로 세출구조조정을 마련하도록 하였습니다."
TEST_077,정부는 재정성과관리제도 개선으로 인하여 대폭 성과관리의 효과성을 강화할 목적으로 재정관리시스템 구축과 성과관리 개편을 추진하고 있습니다. 이로써 재정 투명성 강화에 기여하는 것을 주된 목적으로 하고 있습니다.
TEST_078,우리나라에서는 2011년부터 발생주의 기준을 적용한 국가결산보고서에서 우발부채를 보고하고 있다.
TEST_079,"우발부채 개념 및 용어 사용의 혼란, 우발부채 분류기준 재검토, 새로운 분류기준 정립이 주요 쟁점입니다."
TEST_080,"국제기준 재정통계 산출에 발생주의 회계기준이 적용되면서 미래의 다양한 의무를 포괄하는 우발부채 관리의 중요성이 인식되었다. 공공부문에서는 재정건전성, 재정 위기 관리 등 다양한 관점에서 우발부채가 중요한 요소로 다뤄져야 한다."
TEST_081,"우발부채는 미래에 특정 사건(들)이 일어나지 않는 한 발생하지 않는 의무로, 하나 또는 그 이상의 조건이 충족되어야 금융거래로 인식되는 반면, 부채는 미리 정해진 금액과 기간을 가지고 있는 의무이다."
TEST_082,"발생주의는 '경제적 거래가 발생하는 시점'에 거래를 기록하는 방식이고, 현금주의는 '현금을 수취하거나 지급한 시점'에 거래를 기록하는 방식이다."
TEST_083,"채무지속가능성분석(Debt Sustainability Analysis, DSA)는 잠재적 재정위기 감지, 예방, 해결을 위한 IMF의 노력으로 2002년에 도입되었다."
TEST_084,의제의무란 발표된 정부방침 또는 구체적이고 유효한 약속이나 과거의 실무관행 등을 통해 중앙관서 또는 기금이 특정 책임을 부담한다는 것을 표명함으로써 상대방이 그 책임을 이행할 것이라는 정당한 기대를 가지게 되는 경우 발생하는 의무를 말한다.
TEST_085,"국제통화기금(IMF)이 재정통계 작성의 국제기준을 제시하기 위해 발간한 매뉴얼은 ""Government Finance Statistics Manual""입니다. 이 매뉴얼은 1986년 처음 발간되었으며, 이후 2001년과 2014년에 총 2차례의 개정이 이루어졌습니다."
TEST_086,"계류중인 소송사건은 정부가 원고인 경우와 피고인 경우 각각을 주석으로 공시하며, 다만 자원의 유출 가능성이 매우 높은 경우에는 소송충당부채로 공시합니다."
TEST_087,최소운영수입보장(BTO 등) 제도란 주로 BTO 민간투자사업 중 실시협약서 상 추정 수입보다 실제 수입이 미치지 못하는 경우 정부가 최소운영수입을 보장해 주는 제도를 말합니다.
TEST_088,"우발부채는 계류중인 소송사건, 담보제공자산, 지급보증, 중요한 계약사항 등 9가지 항목이 있으며, 가능하면 우발부채 추정금액, 자원의 유출 금액 및 시기 관련 불확실성 정도, 제3자에 의한 변제 가능성을 공시한다."
TEST_089,명시적 우발부채와 암묵적 우발부채로 구분합니다. 명시적 우발부채는 규정된 조건 발생시 경제적 가치의 지급을 요구하는 법적 또는 계약에 의한 금융협정입니다.
TEST_090,"GFSM은 총 2차례의 개정을 거쳤으며, GFSM 2001은 전면 개정되어 현재의 발생주의 기준 GFS체계를 구축하였다."
TEST_091,"표준화 보증(standardized guarantees)은 통상 아주 적은 금액에 대해 획일적 조건으로 대규모로 발행하는 보증을 말한다. 예를 들어, 수출신용 보증, 환보증, 다양한 종류의 보험, 농민융자, 모기지론, 학자금융자, 중소기업융자 등이 있다."
TEST_092,"공공부문의 우발부채가 표준화 보증 충당부채로 인식된다. 이 경우, 평균손실(채무불이행률)을 추정하여 공공부문 우발부채가 아닌 표준화 보증 충당부채로 처리한다."
TEST_093,"공적보증채무는 재정정책 및 분석에서 중요하며, 보증인이 기타 공공부문과 민간부문 단위 기존 채무의 원리금 상환을 보증한다는 점에서 다른 일회성 보증과 구분된다."
TEST_094,미래사회보장급여에 대한 순의무란 계약상의 부채가 아닌 미래 발생 비용으로 여겨지는 사회보장급여를 의미합니다. 이는 현행법과 규정에 따라 이미 가입자가 획득한 미래 급여의 현재 가치에서 현행법과 규정에 따른 사회보장제도의 미래 보험료의 순현재 가치를 차감한 것을 말합니다.
TEST_095,"국가회계기준에서는 우발부채를 재무제표상 부채로 인식하지 않지만, 지방자치단체 회계기준에서는 발생가능성과 금액의 추정가능성에 따라 재무제표상 재정상태표에 인식합니다."
TEST_096,"우발부채는 미래의 다양한 의무를 포괄하는 우발부채 관리에 대한 중요성 인식이며, 재정위험을 발생시키는 구체적 원인이 됩니다. 우발부채는 미래에 특정 사건(들)이 일어나지 않는 한 발생하지 않는 의무로, 하나 또는 그 이상의 조건이 충족되어야 금융거래로 인식됩니다."
TEST_097,"보증(guarantees)은 명시적 우발부채의 가장 보편적 형태이나 모든 보증이 우발부채에 해당하는 것은 아니다. 표준화 보증(standardized guarantees)은 통상 아주 적은 금액에 대해 획일적 조건으로 대규모로 발행하는 보증을 말하며, 수출(무역)신용 보증, 환보증, 다양한 종류의 보험 등이 있다."
